Lateinisches Wort,Formen,Übersetzung,Zahl
improbus,"-a, -um","schlecht, unanständig, niederträchtig",8
imprimins,-,"in erster Linie, besonders",18
impetum facere in,(m.Akk.),jdn. angreifen,27
impetus,impetus m,"der Angriff, der Ansturm",27
imperium,-i n,"der Befehl, die Herrschaft, das Reich",24
imperator,imperatoris m,"der Feldherr, der Kaiser",15
imperator,imperatoris m,"der Feldherr, der Kaiser",5
imperare,(m.Dat.),"befehlen, herrschen (über)",23
impellere,"impello, impuli, impulsum","antreiben, veranlassen",26
impedire,-,"hindern, verhindern",11
impetrare,-,"bekommen, bewirken",40
impedimentum,impedimenti n,"das Hindernis, Pl. das Gepäck",34
immortalis,immortale,"unsterblich, Subst. der Unsterbliche, der Gott",21
immo,-,"im Gegenteil, ja sogar",23
imitari,"imitor, imitatus sum","nachahmen, nachmachen",42
imitari,"imitor, imitatus sum","nachahmen, nachmachen",41
imitari,"imitor, imitatus sum","nachahmen, nachmachen",40
imbecillitas,imbecilitatis f,die Schwäche,42
imbecillitas,imbecilitatis f,die Schwäche,41
imbecillitas,imbecilitatis f,die Schwäche,40
Hercules ille,-,der berühmte Herkules,23
ille,"illa, illud","jener, jene, jenes",23
non ignorare,-,"genau wissen, gut kennen",19
ignorare,-,"nicht wissen, nicht kennen",19
ignis,ignis m,das Feuer,21
igitur,-,"also, folglich",35
idem,"eadem, idem","der gleiche, derselbe",31
ibi,-,dort,3
non iam,-,nicht mehr,4
iam,-,"schon, bereits",1
iactura,-ae f,der Verlust,40
iacare,-,"schwingen, schleudern, durcheinanderwerfen",41
iacere,-,liegen,25
humus,-i f,"die Erde, der (Erd-)Boden",21
humanus,"-a, -um","menschlich, gebildet",40
huc,-,hierher,22
hostis,hostis m/f,der (Landes-)Feind/die Feindin,6
hospes,hospitis m,"der Gastgeber, der Gast(freund)",6
hora,-ae f,die Stunde,5
magno honore esse,-,hohes Ansehen genießen,32
honos/honor,honoris m,"die Ehre, das Ehrenamt",18
honestus,"-a, -um","ehrenhaft, angesehen",35
homo,hominis m,der Mensch,5
hodiernus,"-a, -um",heutig,40
hodie,-,heute,1
hinc,-,"von hier, hierauf, daher",22
hiems,hiemis f,"der Winter, das Unwetter",21
hic,"haec, hoc","dieser, diese, dieses",23
hic,-,hier,1
haurire,"haurio, hausi, haustum","schöpfen, nehmen",35
haud,-,nicht,13
habitare,-,"wohnen, bewohnen",4
habitabilis,habitabile,"bewohnabr, wohnlich",39
habitabilis,habitabile,"bewohnabr, wohnlich",38
habitabilis,habitabile,"bewohnabr, wohnlich",37
habere,-,"haben, halten",3
gremium,-i n,der Schoß,37
gravis,grave,"schwer, gewichtig, ernst, bedeutend",32
gratus,"-a, -um","dankbar, willkommen",40
gratulari,"gratulor, gratulatus sum","beglückwünschen, gratulieren, (m.AcI) sich glücklich preisen, dass",38
gratiam habere,-,danken,9
gratia,-ae f,"der Dank, die Gunst, die Anmut",9
gloriam sibi parare,-,sich Ruhm verschaffen,18
gloria,-ae f,"der Ruhm, die Ehre",18
gladius,-i m,das Schwert,6
se gerere,-,sich benehmen,18
rem gerere,-,kämpfen,33
gerere,"gero, gessi, gestum","tragen, führen, ausführen",18
genus,generis n,"die Art, das Geschlecht, die Abstammung, der Stand",32
gens,gentis f,"das Geschlecht, der Stamm, das Volk",15
gaudium,-i n,die Freude,1
gaudere,"gaudeo, gavisus sum","sich freuen, Spaß haben",34
gaudere,"gaudeo, gavisus sum","sich freuen, Spaß haben",1
futurus,"-a, -um","künftig, zukünftig",39
futurus,"-a, -um","künftig, zukünftig",38
futurus,"-a, -um","künftig, zukünftig",37
furor,furoris m,"der Wahnsinn, das Wüten, die Wut",23
fur,furis m/f,der Dieb/die Diebin,3
fugere,"fugio, fugi, - (m.Akk.)","fliehen (vor), meiden",19
fugere,"fugio, fugi, - (m.Akk.)","fliehen (vor), meiden",3
fugare,-,"in die Flucht schlagen, vertreiben",42
fugare,-,"in die Flucht schlagen, vertreiben",41
fugare,-,"in die Flucht schlagen, vertreiben",40
fuga,-ae f,die Flucht,31
frustra,-,"vergeblich, umsonst",4
frui,"fruor, fructus sum (m.Abl.)",genießen,36
frons,frondis f,"das Blatt, das Laub",39
frater,fratris m,der Bruder,6
frangere,"frango, fregi, fractum","brechen, (etw.) zerbrechen",23
forum,-i n,"das Forum, der (Markt-)Platz, das Stadtzentrum",7
forum,-i n,"das Forum, der (Markt-)Platz, das Stadtzentrum",4
forum,-i n,"das Forum, der (Markt-)Platz, das Stadtzentrum",1
fortuna,-ae f,"das Schicksal, das Glück, Pl. die Güter, das Vermögen",41
fortis,forte,"tapfer, stark, tatkräftig",10
forte,-,zufällig,37
fortasse,-,vielleicht,20
forma,-ae f,"die Gestalt, die Schönheit",22
foris,foris f,"der Türflügel, Pl. die Tür",39
foras,-,"heraus, hinaus, nach draußen",2
flumen,fluminis n,der Fluss,16
flere,"fleo, flevi, fletum","weinen (über), beweinen, beklagen",24
flectere,"flecto, flexi, flexum","biegen, beugen, umstimmen",22
flamma,-ae f,die Flamme,26
finitimus,"-a, -um","angrenzend, benachbart, (Subst.) der Nachbar",33
finitimus,"-a, -um","angrenzend, benachbart, (Subst.) der Nachbar",32
finitimus,"-a, -um","angrenzend, benachbart, (Subst.) der Nachbar",31
finis,finis m,"das Ende, die Grenze, das Ziel, Pl. das Gebiet",24
finire,-,"beenden, begrenzen",14
fingere,"fingo, finxi, fictum","formen, gestalten, sich ausdenken, erlügen",23
fingere,"fingo, finxi, fictum","formen, gestalten, sich ausdenken, erlügen",21
filius ,-i m,der Sohn,5
filia,-ae f,die Tochter,5
obviam fieri,-,begegnen,34
fieri,"fio, factus sum","gemacht werden, werden, entstehen, geschehen",34
fidus,"-a, -um",treu,12
fides,fidei f,"die Treue, das vertrauen, der Glaube, die Zuverlässigkeit",28
animo fideli esse in amicum,-,einem Freund gegenüber treu sein,34
fidelis,fidele,"treu, zuverlässig",34
ferus,"-a, -um",wild,15
ferrum,-i n,"das Eisen, die Waffe, das Schwert",25
ferre,"fero, tuli, latum","tragen, bringen, ertragen",30
fere,(Adv.),"fast, ungefähr",32
femina,-ae f,die Frau,9
felix,Gen. felicis,"glücklich, erfolgreich",10
fatum,-i n,"der Götterspruch, das Schicksal",26
familiaris,familiare,"vertraut, verwandt, freundschaftlich, Subst. der Vertraute, der Verwandte, der Freund",16
familia,-ae f,die Familie,1
fama,-ae f,"das Gerücht, der (gute oder schlechte) Ruf",33
fama,-ae f,"das Gerücht, der (gute oder schlechte) Ruf",32
fama,-ae f,"das Gerücht, der (gute oder schlechte) Ruf",31
fallere,"fallo, fefelli, -","täuschen, unbemerkt bleiben",28
fallax,Gen. fallacis,trügerisch,36
factum,-i n,die Tat,23
facilis,facile,"einfach, leicht, mühelos",17
facies,faciei f,"das Gesicht, das Aussehen",38
certiorem facere,(m.Akk.),benachrichtigen,31
facere,"facio, feci, factum","machen, tun",23
facere,"facio, feci, factum",machen tun,14
facere,"facio, feci, factum","machen, tun",7
fabula,-ae f,"die Geschichte, die Erzählung, das Theaterstück",2
extinguere,"extinguo, extinxi, extinctum","löschen, auslöschen, vernichten",23
expectare,-,"warten (auf), erwarten",2
expugnare,-,erobern,31
expellere,"expello, expuli, expulsum","vertreiben, verjagen, verbannen",28
expeditus,"-a, -um","ohne (Marsch-)Gepäck, ungehindert",34
expedire,-,"losmachen, abwickeln, ermöglichen",35
existimarre,-,"einschätzen, meinen, (m.dopp.Akk.) halten für",42
existimare,-,"einschätzen, meinen, (m.dopp.Akk.) halten für",30
existiamre,-,"einschätzen, meinen, (m.dopp.Akk.) halten für",29
existimare,-,"einschätzen, meinen, (m.dopp.Akk.) halten für",28
existimare,-,"einschätzen, meinen, (m.dopp.Akk.) halten für",27
exire,"exeo, exii, exitum","herausgehen, verlassen, ausrücken",29
exilium,-i n,"die Verbannung, das Exil",12
exercitus,exercitus m,das Heer,27
exemplum,-i n,"die Verbannung, das Exil",12
excedere,"excedo, excessi, excessum",hinausgehen,33
excedere,"excedo, excessi, excessum",hinausgehen,32
excedere,"excedo, excessi, excessum",hinausgehen,31
ex,(m.Abl.),"aus, aus… heraus, von… her, seit",7
evertere,"everto, everti, eversum","umstürzen, zerstören",30
evertere,"everto, eversi, eversum","umstürzen, zerstören",29
evertere,"everto, everti, eversum","umstürzen, zerstören",28
evertere,"everto, everti, eversum","umstürzen, zerstören",27
etsi,-,"auch wenn, wenn auch",37
etiam,-,"auch, sogar",4
et… et…,-,sowohl… als auch…,5
et,-,"und, auch",1
est,-,"er/ sie/ es ist, es gibt",1
esse,"sum, fui, -",sein,12
esse ,"sum, fui, -",sein,4
eripere,"eripio, eripui, ereptum",entreißen,23
eripere,"eripio, eripui, ereptum",entreißen,12
eripere,"eripio, eripui, ereptum",entreißen,11
ergo,-,"also, folglich",7
equus,-i m,das Pferd,6
equitatus,equitatus m,die Reiterei,33
equidem,-,"(ich) allerdings, freilich",17
eques,equitis m,"der Reiter, der Ritter",32
epistula,-ae f,der Brief,2
eo,-,"deswegen, dorthin",33
enim,(nachgestellt),"denn, nämlich",6
eligere,"eligo, elegi, electum","auslesen, auswählen",29
elabi,"elabor, elapsus sum","weggleiten, entrinnen",40
egregius,"-a, -um","hervorragend, ausgezeichnet",15
ego,-,ich,2
effugere,"effugio, effugi","entfliehen, entkommen",26
efficere,"efficio, effeci, effectum","bewirken, vollenden, herstellen",41
educere,"effero, extuli, elatum","hinausbringen, in die Höhe heben",30
educere,"effero, extuli, elatum","hinausbringen, in die Höhe heben",29
educere,"effero, extuli, elatum","hinausbringen, in die Höhe heben",28
effere,"effero, extuli, elatum","hinausbringen, in die Höhe heben",27
educere,"educo, eduxi, eductum",herausführen,34
ecce!,-,"sieh da!, schau!/ seht da!, schaut!",3
e,(m.Abl.),"aus, aus… heraus, von… her, seit",7
dux,ducis m/f,der Anführer/die Anführerin,29
durus,"-a, -um","hart, hartherzig",12
duodecim,-,zwölf,23
duo,"duae, duo",zwei,23
dum,-,"(solange) bis, solange, (m.Ind.Päs.) während",31
dulcis,dulce,"süß, lieblich",22
deorum numero ducere,-,zu den Göttern zählen,32
ducere,"duco, duxi, ductum","führen, ziehen",23
ducere,"duco, duxi, ductum","führen, ziehen",16
ducere,"duco, duxi, ductum","führen, ziehen",7
druides,druidum m.Pl.,die Druiden,32
dormire,-,schlafen,6
donum,-i n,das Geschenk,24
donare,-,"schenken, beschenken",10
domus,domus f,das Haus,29
domum,-,"heim, nach Hause",29
dominus ,-i m,"der Herr, der Hausherr",1
domina,-ae f,"die Herrin, die Hausherrin",1
domi,-,zu Hause,11
domare,"domo, domui, domitum","zähmen, besiegen, unterwerfen",38
dolus,-i m,"die List, die Täuschung",9
dolor,doloris m,der Schmerz,5
dolere,-,"schmerzen, (m.Abl.) Schmerz empfinden (über)",12
docere,"doceo, docui, doctum","lehren, belehren",5
divinus,"-a, -um",göttlich,32
diversus,"-a, -um","entgegengesetzt, verschieden",38
diu,-,lange (Zeit),3
dissimilis,dissimile,unähnlich,42
dissimilis,dissimile,unähnlich,41
dissimilis,dissimile,unähnlich,40
disputare,-,"diskutieren, sprechen über",18
disponere,"dispono, disposui, dispositum","verteilen, ordnen, einteilen",41
discere,"disco, didici, -",lernen,35
dimittere,"dimitto, dimisi, dimissum","entsenden, wegschicken, entlassen",30
diligens,Gen. diligentis,"sorgfältig, gewissenhaft",13
dignus,"-a, -um (m.Abl.)","würdig, wert",27
digitus,-i m,der Finger,37
difficilis,difficile,"schwer, schwierig",20
differe,"differo, distuli, dilatum","aufschieben, verschieben, sich unterscheiden",32
dies,diei m,der Tag,28
alicui salutem dicere,-,jemanden grüßen,40
dicere,"dico, dixi, dictum","sagen, sprechen, (m.dopp.Akk.) nennen, bezeichnen als",42
dicere,"dico, dixi, dictum","sagen, sprechen, (m.dopp.Akk.) nennen, bezeichnen als",14
dicere,"dico, dixi, dictum","sagen, sprechen, (m.dopp.Akk.) nennen, bezeichnen als",3
dext(e)ra,dext(e)rae f,die rechte Hand,36
dext(e)ra,dext(e)rae f,die rechte Hand,35
dext(e)ra,dext(e)rae f,die rechte Hand,34
dext(e)r,"dext(e)ra, dext(e)rum",rechts,36
dext(e)r,"dext(e)ra, dext(e)rum",rechs,35
dext(e)r,"dext(e)ra, dext(e)rum",rechts,34
deus,-i m,der Gott,7
detrimento esse,-,schaden,21
detrimentum,-i n,"der Nachteil, der Schaden",21
desperare (de),-,"verzweifeln (über), die Hoffnung aufgeben",26
desinere,"desino, desii, desitum","ablassen, aufhören",13
desinere,"desino, desii, desitum","ablassen, aufhören",12
desiderare,-,"sich sehnen nach, vermissen, (m.Inf.) ersehnen (zu tun)",5
deserere,"desero, deserui, desertum","verlassen, im Stich lassen",23
deserere,"desero, deserui, desertum","verlassen, im Stich lassen",12
descendere,"descendo, descendi, descensum","herabsteigen, hinabsteigen",21
deponere,"depono, deposui, depositum","ablegen, niederlegen",23
deponere,"depono, deposui, depositum","ablegen, niederlegen",20
denique,-,schließlich,9
demum,-,"endlich, erst",30
demum,-,"endlich, erst",29
demum,-,"endlich, erst",28
demum,-,"endlich, erst",27
demonstrare,-,"zeigen, darlegen, beweisen",31
deliberare,-,"überlegen, nachdenken",42
delere,"deleo, delevi, deletum",zerstören,26
delectare,-,"erfreuen, Freude bereiten",5
delabi,"delabor, delapsus sum",herabgleiten,37
deinde,-,"hierauf, dann",24
vires me deficiunt,-,die Kräfte verlassen mich,26
deficere,"deficio, defeci, defectum","ausgehen, (Akk.) fehlen, (a/ab) abfallen (von)",26
defensio,defensionis f,die Verteidigung,36
defendere,"defendo, defendi, defensum (a/ab)","abwehren, verteidigen (gegen)",14
defendere,"defendo, defendi, defensum (a/ab)","abwehren, verteidigen (gegen)",11
deesse,"desum, defui, -",fehlen,13
deducere,"deduco, deduxi, deductum","hinabführen, wegführen, geleiten",29
dedere,"dedo, dedidi, deditum","ausliefern, übergeben, auf etwas ausrichten",32
decidere,"decido, decidi, -",herabfallen,37
vestis me decet,-,das Kleid steht mir,13
decet,decuit (m.Akk.),"es schickt sich (für jdn.), es steht (jdm.)",13
decernere,"decerno, decrevi, decretum","beschließen, entscheiden",27
de vita decedere,-,sterben,19
decedere,"decedo, decessi, decessum","weggehen, sterben",24
decedere,"decedo, decessi, decessum","weggehen, sterben",19
debilis,debile,schwach,36
non debere,-,"nicht müssen, nicht dürfen",3
debere,-,"müssen, schulden",1
dea,-ae f,die Göttin,7
de Capitolio narrare,-,vom Kapitol erzählen,7
de amico timere,-,um den Freund fürchten,7
de,(m.Abl.),"von… herab, von, über, um",7
se dare,-,"sich hingeben, sich widmen",16
dare,"do, dedi, datum",geben,23
dare,"do, dedi, datum",geben,14
dare,"do, dedi, datum",geben,13
damnosus,"-a, -um","schädlich, verderblich",42
damnosus,"-a, -um","schädlich, verderblich",41
damnosus,"-a, -um","schädlich, verderblich",40
damnare,-,verurteilen,14
custos,custodis m,der Wächter,11
currus,currus m,der Wagen,37
currere,"curro, cucurri, cursum","laufen, rennen",25
currere,"curro, cucurri, cursum","laufen, rennen",20
currere,"curro, cucurri, cursum","laufen, rennen",3
cura,-ae f,"die Kurie, das Rathaus",8
cur?,-,warum?,1
cupiditas,cupiditatis f,"die Gier, die Begierde, das Verlangen, die Leidenschaft",27
cupere,"cupio, cupivi, cupitum (m.Inf.)","wünschen (zu tun), wollen, begehren",12
cupere,"cupio, cupivi, cupitum (m.Inf.)","wünschen (zu tun), wollen, begehren",3
cunctus,"-a, -um","gesamt, ganz",36
cunctus,"-a, -um","gesamt, ganz",35
cunctus,"-a, -um","gesamt, ganz",34
cuncti,"-ae, -a",alle,19
cum,(m.Konj.),"als, nachdem, da, weil, obwohl, während (dagegen)",25
cum,(m.Ind.),"(immer) wenn, (damals) als, (dann), wenn, sobald",20
cum,(m.Abl.),(zusammen) mit,7
cultus,cultus m,"die Pflege, die Verehrung, die Lebensweise, die Kultur, die Bildung",38
crudelis,crudele,"grausam, hartherzig",13
crimini dare,-,zum Vorwurf machen,21
crimen,criminis n,"das Verbrechen, der Vorwurf, die Anklage",21
crescere,"cresco, crevi, -","wachsen, zunehmen",20
credere,"credo, credidi, creditum","glauben, vertrauen, anvertrauen",26
credere,"credo, credidi, creditum","glauben, vertrauen, anvertrauen",20
credere,"credo, credidi, creditum","glauben, vertrauen, anvertrauen",12
creare,-,"schaffen, erschaffen, wählen",12
crastinus,"-a, -um",morgig,40
cras,-,morgen,7
cottidie,-,täglich,40
corrumpere,"corrumpo, corrupi, corruptum","verderben, bestechen",24
corripere,"corripio, corripui, correptum","packen, (gewaltsam) ergreifen",23
corripere,"corripio, corripui, coreptum","packen, (gewaltsam) ergreifen",22
corpus,corporis n,"der Körper, der Leichnam",15
coram,(m.Abl.),"vor, in Gegenwart von",42
cordi esse,-,am Herzen liegen,21
cor,cordis n,das herz,21
copia,-ae f,"die Menge, der Vorrat, Pl. auch: die Truppen",20
convocare,-,"zusammenrufen, herbeirufen, einberufen",33
convivium,-i n,"das Gastmahl, das Gelage",13
conversatio,conversationis f,"der Umgang, das Gespräch",42
conversatio,conversationis f,"der Umgang, das Gespräch",41
conversatio,conversationis f,"der Umgang, das Gespräch",40
conventus,conventus m,"die Versammlung, die Schar",30
mihi convenit,-,es passt (zu) mir,13
amicam convenire,-,eine Freundin treffen,13
convenire,"convenio, conveni, conventum","zusammenkommen, treffen, besuchen, passen, glücken",25
convenire,"convenio, conveni, conventum","zusammenkommen, treffen, besuchen, passen, glücken",17
convenire,"convenio, conveni, conventum","zusammenkommen, treffen, besuchen, passen, glücken",13
convenire,"convenio, conveni, conventum","zusammenkommen, treffen, besuchen, passen, glücken",2
controversia,-ae f,"der Streit, die Meinungsverschiedenheit",32
contra,(Adv.),dagegen,24
continere,-,"zusammenhalten, enthalten, im Zaumhalten",8
contentus,"-a, -um (m.Abl.)",zufrieden (mit),8
contendere,"contendo, contendi, contentum","sich anstrengen, kämpfen, eilen, behaupten",24
consulere,"consulo, consului, consultum","(m.Dat.) sorgen für, (m.Akk.) um Rat fragen, (m.de) beraten (über)",27
consul,consulis m,der Konsul,11
consuetudo,consuetudinis f,die Gewohnheit,32
constringere,"constringo, constrinxi, constrictum","zusammenschnüren, binden",41
constituere de,(m.Abl.),entscheiden über,32
constituere,"constituo, constitui, constitutum","aufstellen, festsetzen, einrichten, (m.Inf.) beschließen (zu tun)",25
constituere,"constituo, constitui, constitutum","aufstellen, festsetzen, einrichten, (m.Inf.) beschließen (zu tun)",19
constat,constitit,"es steht fest, es ist bekannt",15
conspicere,"conspicio, conspexi, conspectum","ansehen, erblicken",24
conspicere,"conspicio, conspexi, conspectum","ansehen, erblicken",22
conspicari,"conspicor, conspicatus sum",erblicken,33
conspectus,conspectus m ,"der Anblick, das Blickfeld",27
consistere in,(m.Abl.),bestehen aus,32
consistere,"consisto, constiti, -","stehen bleiben, sich aufstellen",14
consistere,"consisto, constiti, -","stehen bleiben, sich aufstellen",4
consilium dare,-,einen Rat erteilen,13
consilium capere,-,einen Plan fassen,8
consilium,-i n,"der Rat, der Ratschlag, der Plan, der Beschluss",8
considere,"consido, consedi, consessum","sich setzen, sich niederlassen",33
conquiescere,"conquiesco, conquievi, conquietum","zur Ruhe kommen, Ruhe finden",36
coniunx,coniugis m/f,der Ehemann/die Ehefrau,17
confiteri,"confiteor, confessus sum","gestehen, bekennen",42
confiteri,"confiteor, confessus sum","gestehen, bekennen",41
confiteri,"confiteor, confessus sum","gestehen, bekennen",40
confirmare,-,"(be)kräftigen, verstärken, ermutigen",15
se conferre,-,sich begeben,30
conferre,"confero, contuli, collatum","zusammentragen, zusammenbringen, vergleichen",30
condicio,condicionis f,"die Bedingung, die Lage",33
condicio,condicionis f,"die Bedingung, die Lage",32
condicio,condicionis f,"die Bedingung, die Lage",31
condere,"condo, condidi, conditum","gründen, bauen, verwahren, bergen",26
concurrere,"concurro, conconcurri, concursum",zusammenlaufen,32
concilium,concilii n,die Versammlung,33
concedere,"concedo, concessi, concessum","weichen, nachgeben, erlauben, zugestehen",24
comprehendere,"comprehendo, comprehendi, comprhensum","ergreifen, festnehmen, erfassen, begreifen",14
componere,"compono, composui, compositum","ordnen, vergleichen, verfassen",23
componere,"compono, composui, compositum","ordnen, vergleichen, verfassen",20
complures,"complura (Pl), Gen.complurium",mehrere,34
complere,"compleo, complevi, completum (m.Abl.)","ausfüllen, anfüllen (mit), erfüllen",13
complere,"compleo, complevi, completum (m.Abl.)","ausfüllen, anfüllen (mit), erfüllen",6
complecti,"complector, complexus sum","umfassen, umarmen",39
compellere,"compello, compuli, compulsum",zusammentreiben,33
compellere,"compello, compuli, compulsum",zusammentreiben,32
compellere,"compello, compuli, compulsum",zusammentreiben,31
comparare,-,"beschaffen, bereiten, vorbereiten",34
communis,commune,"allgemein, gemeinsam",33
communicare,-,"gemeinsam machen, (gemeinsam) besprechen",42
commovere,"commoveo, commovi, commotum","bewegen, beunruhigen, veranlassen",24
commovere,"commoveo, commovi, commotum","bewegen, beunruhigen, veranlassen",22
commodum,-i n,"der Vorteil, die Annehmlichkeit",37
scelus committere,-,ein Verbrechen begehen,14
proelium committere,-,"eine Schlacht liefern, ein Gefecht beginnen",33
commitere,"committo, commisi, commissum","begehen, veranstalten, anvertrauen",23
commitere,"committo, commisi, commissum","begehen, veranstalten, anvertrauen",14
comitatus,comitatus m,"die Begleitung, das Gefolge",34
comes,comitis m/f,"der Gefährte/die Gefährtin, der Begleiter/die Begleiterin",11
coma,-ae f,das Haar,39
color,coloris m,die Farbe,33
colligere,"colligo, collegi, collectum",sammeln,22
colere,"colo, colui, cultum","bewirtschaften, bebauen, pflegen, verehren",12
colere,"colo, colui, cultum","bewirtschaften, bebauen, pflegen, verehren",7
Ciceronem cognovi,-,ich kenne Cicero,17
cognoscere,"cognosco, cognovi, cognitum","kennenlernen, erkennen, erfahren, Perf. wissen",17
cognatus,"-a, -um",verwandt,39
cognatus,"-a, -um",verwandt,38
cognatus,"-a, -um",verwandt,37
cogitatio,cogitationis f,"das Denken, der Gedanke",36
secum cogitare,-,bei sich/im Stillen denken,16
cogitare,-,"denken, beabsichtigen (zu tun)",1
cogere,"cogo, coegi, coactum","versammeln, zwingen",24
classis,classis f,"die Flotte, die Abteilung",26
clarus,"-a, -um","hell, klar, berühmt",10
clamor,clamoris m,"der Schrei, das Geschrei, der Lärm",3
clamare,-,"(laut) rufen, schreien",1
clam,-,heimlich,3
civitas,civitatis f,"der Staat, die Bürgerschaft, das Bürgerrecht",11
civis,civis m/f,der Bürger/die Bürgerin,5
civilis,civile,bürgerlich,39
civilis,civile,bürgerlich,38
civilis,civile,bürgerlich,37
citus,"-a, -um","schnell, rasch",37
citra,(m.Akk.),diesseits,31
cito,-,schnell,8
cithara,-ae f,die Kithara,39
circum,(m.Akk.),"rings um, um… herum",30
circum,(m.Akk.),"rings um, um… herum",29
circum,(m.Akk.),"rings um, um… herum",28
circum,m.Akk.),"rings um, um… herum",27
cibus,-i m,"die Speise, die Nahrung",6
ceterum,-,"übrigens, im Übrigen",41
cessare,(m.Inf.),"zögern (zu tun), sich Zeit lassen",3
cervix,cervicis f,"der Nacken, der Hals",36
cervix,cervicis f,"der Nacken, der Hals",35
cervix,cervicis f,"der Nacken, der Hals",34
certiorem facere,(m.Akk.),benachrichtigen,31
certus,"-a, -um",sicher,39
certe,(Adv.),"sicher, gewiss",4
certare,-,"kämpfen, streiten, wetteifern",17
certamen,certaminis n,"der Wettkampf, der Kampf",37
cernere,"cerno, crevi, -","sehen, erkennen",32
centum,-,hundert,19
cenare,-,"essen, speisen",6
cena,-ae f,"die (Haupt-)Mahlzeit, das Essen",6
celer,"celeris, celere",schnell,10
celebrare,-,feiern,18
celeber,"celebris, celebre","viel besucht, gefeiert",17
cedere,"cedo, cessi, cessum","(weg-)gehen, nachgeben",30
cavere,"caveo, cavi, cautum (m.Akk.)","sich hüten (vor), sich in Acht nehmen (vor)",17
cavere,"caveo, cavi, cautum (m.Akk.)","sich hüten (vor), sich in Acht nehmen (vor)",8
avus,-i m,der Großvater,16
avertere,"averto, averti, aversum","abwenden, fernhalten, entfernen",18
causa,"m.Gen.,  nachgestellt","um…willen, wegen",32
causa,causae f ,"der Grund, die Ursache, der Fall, der (Gerichts-)Prozess",14
avertere,"averto, averti, aversum","abwenden, fernhalten, entfernen",5
avarus,"-a, -um",habgierig,42
casus,casus m,"der Fall, der Zufall, der Unglücksfall",41
castra ponere,-,ein Lager aufschlagen,29
avarus,"-a,-um",habgierig,41
avarus,"-a, -um",habgierig,40
castra movere,-,"ein Lager abbrechen, aufbrechen",30
castra,castrorum n (Pl.),"das Lager, das Kriegslager",29
avaritia,-ae f,"die Habgier, der Geiz",42
carus,"cara, carum","lieb, teuer, wertvoll",13
avariria,-ae f,"die Habgier, der Geiz",41
carmen,carminis n,"das Lied, das Gedicht",6
avaritia,-ae f,"die Habgier, der Geiz",40
carere,(m.Abl.),"entbehren, nicht haben, frei sein von",36
auxilium petere,-,um Hilfe bitten,6
caput,capitis n,"das Haupt, der Kopf, die Hauptstadt",23
auxilio venire,-,zu Hilfe kommen,6
auxilio esse,(m.Dat.),helfen,36
captivus,"captiva, captivum","gefangen, Subst. der/die Gefangene",25
capillus,capilli m,das Haar,39
auxilium,-i n,die Hilfe,6
autem,(nachgestellt,"aber, jedoch",13
capere,"capio, cepi, captum","fassen, fangen, ergreifen, einnehmen",23
capere,"capio, cepi, captum","fassen, fangen, ergreifen, einnehmen",19
aut… aut…,-,entweder… oder…,27
capere,"capio, cepi, captum","fassen, fangen, ergreifen, einnehmen",3
aut,-,oder,27
aurum,-i n,das Gold,38
cantare,-,singen,5
aureus,"-a, -um","golden, vergoldet",38
canis,canis m/f,der Hund/die Hündin,23
aura,-ae f,"der Windhauch, der Lufthauch, die Luft",22
calamitas,calamitatis f,"das Unglück, das Unheil, der Schaden",16
augurium agere,-,eine Vogelschau abhalten,27
caelum,caeli n ,"der Himmel, das Klima",21
augurium,-i n,"die Weissagung, die Vogelschau",27
barbarus,"barbara, barbarum, Subst. der Barbar","fremd, ausländisch, barbarisch",15
auferre,"aufero, abstuli, ablatum","wegtragen, wegbringen, wegnehmen",30
beatus,"beata, beatum",glücklich,18
bellum,belli n,der Krieg,15
audire,-,"hören, anhören",2
bellum committere,-,einen Krieg beginnen,18
audere,"audeo, ausus sum",wagen,34
bellum gerere (cum),-,Krieg führen (mit),15
audax,Gen. audacis,"mutig, unbekümmert, frech",42
audacia,-ae f,"der Wagemut, die Kühnheit, die Frechheit",11
bellum inferre,-,angreifen,30
bene,-,gut,2
auctoritas,auctoritatis f,"das Ansehen, der Einfluss",36
bibere,"bibo, bibi, -",trinken,6
auctor,auctoris m,"der Urheber, der Veranlasser, der Gründer, der Schriftsteller",24
atque/ac,-,"und, und auch",9
bibere,"bibo, bibi, -",trinken,19
bonum,boni n,das Gut,40
ater,"atra, atrum","schwarz, finster",22
at,-,"aber, jedoch",17
bonus,"bona, bonum",gut,8
aspicere,"aspicio, aspexi, aspectum","ansehen, erblicken",24
cadere,"cado, cecidi, -",fallen,16
aspicere,"aspicio, aspexi, aspectum","ansehen, erblicken",14
caedere,"caedo, cecidi, caesum ","fällen, niederschlagen, töten",14
caedere,"caedo, cecidi, caeum","fällen, niederschlagen, töten",24
asper,"aspera, asperum","rau, grob, hart",17
caedes,"caedis f, Gen. Pl. caedium ","das Blutbad, der Mord",28
arx,arcis f,"die Burg, die Stadtburg",24
ars,artis f,"die Kunst, die Fertigkeit",16
ad arma vocare,-,zu den Waffen rufen,12
arma capere,-,zu den Waffen greifen,8
arma,-orum n (Pl.),die Waffen,8
ardere,"ardeo, arsi, -","brennen, glühen",14
ardere,"ardeo, arsi, -","brennen, glühen",5
