Lateinisches Wort,Formen,Übersetzung,Zahl
pergere,"pergo, perrexi, perrectum","fortfahren (zu tun), weitermachen, aufbrechen",8
perfrui,"perfruor, perfructus sum (m.Abl.)",(voll und ganz) genießen,36
perficere,"perficio, perfeci, perfectum","vollenden, durchsetzen",30
perficere,"perficio, perfeci, perfectum","vollenden, durchsetzen",29
perficere,"perficio, perfeci, perfectum","vollenden, durchsetzen",28
perficere,"perficio, perfeci, perfectum","vollenden, durchsetzen",27
perferre,"perfero, pertuli, perlatum","überbringen, ertragen",42
perdere,"perdo, perdidi, perditum","zugrunde richten, verderben, verlieren",26
peragere,"perago, peregi, peractum","durchführen, vollenden",23
per,(m.Akk.),"durch (… hindurch), über",7
pendere,"pendeo, pependi, -","hängen, abhängen von (m.ex)",40
pellere,"pello, pepuli, pulsum","schlagen, stoßen, treiben, vertreiben",26
pellere,"pello, pepuli, pulsum","schlagen, stoßen, treiben, vertreiben",20
pellere,"pello, pepuli, pulsum","schlagen, stoßen, treiben, vertreiben",11
pecunia,-ae f,das Geld,10
pectus,pectoris n,"die Brust, das Herz",15
peccare,-,"Fehler machen, Fehler begehen, unmoralisch handeln",42
pacem facere,-,Frieden schließen,17
pax,pacis f,der Friede,17
paulo post,-,ein wenig später,14
paulo,-,"(um) ein wenig, ein bisschen",14
paulum,-,"ein wenig, ein bisschen",14
pauci,"-ae, -a",wenige,17
patrius,"-a, -um","väterlich, des Vaters",39
patrius,"-a, -um","väterlich, des Vaters",38
patrius,"-a, -um","väterlich, des Vaters",37
patricii,-orum m Pl.,die Patrizier (Vertreter der Adelsschicht Roms),30
patria,-ae f,"das Vaterland, die Heimat",12
patres,patrum m(Pl.),die Senatoren,12
pati,"patior, passus sum","leiden, ertragen, zulassen",40
patere,-,offenstehen,36
patere,-,offenstehen,35
patere,-,offenstehen,34
pater,patris m,der Vater,5
parva,-orum n(Pl.),die Kleinigkeiten,13
parvus,"-a, -um","klein, gering",8
partim … partim,-,teils … teils,34
partim,-,"zum Teil, teilweise",34
